image_path,dataset,original_class,unified_parent,unified_class,training_role,safety_level,disposal_group,mapping_confidence,leakage_group,exact_duplicate_group,near_duplicate_group,split,curation_status,curation_reason,curation_action
ewaste/test/Battery/battery_106.jpg,ewaste,Battery,Special,Battery,safety_critical,S3,Battery Collection,HIGH,GROUP_06678,,,test,KEEP,,
ewaste/test/Battery/battery_128.jpg,ewaste,Battery,Special,Battery,safety_critical,S3,Battery Collection,HIGH,GROUP_07393,,,train,KEEP,,
ewaste/test/Battery/battery_148.jpg,ewaste,Battery,Special,Battery,safety_critical,S3,Battery Collection,HIGH,GROUP_06340,,NEAR_06340,train,KEEP,Battery and electronic device are different object types.,KEEP
ewaste/test/Battery/battery_152.jpg,ewaste,Battery,Special,Battery,safety_critical,S3,Battery Collection,HIGH,GROUP_10530,,,train,KEEP,,
ewaste/test/Battery/battery_174.jpg,ewaste,Battery,Special,Battery,safety_critical,S3,Battery Collection,HIGH,GROUP_03057,,,train,KEEP,,
ewaste/test/Battery/battery_177.jpg,ewaste,Battery,Special,Battery,safety_critical,S3,Battery Collection,HIGH,GROUP_08186,,,train,KEEP,,
ewaste/test/Battery/battery_190.jpg,ewaste,Battery,Special,Battery,safety_critical,S3,Battery Collection,HIGH,GROUP_12235,,,train,KEEP,,
ewaste/test/Battery/battery_192.jpg,ewaste,Battery,Special,Battery,safety_critical,S3,Battery Collection,HIGH,GROUP_04203,,,train,KEEP,,
ewaste/test/Battery/battery_211.jpg,ewaste,Battery,Special,Battery,safety_critical,S3,Battery Collection,HIGH,GROUP_02035,,,train,KEEP,,
ewaste/test/Battery/battery_22.jpg,ewaste,Battery,Special,Battery,safety_critical,S3,Battery Collection,HIGH,GROUP_07247,,,val,KEEP,,
ewaste/test/Battery/battery_24.jpg,ewaste,Battery,Special,Battery,safety_critical,S3,Battery Collection,HIGH,GROUP_04750,,,train,KEEP,,
ewaste/test/Battery/battery_241.jpg,ewaste,Battery,Special,Battery,safety_critical,S3,Battery Collection,HIGH,GROUP_03874,,,val,KEEP,,
ewaste/test/Battery/battery_242.jpg,ewaste,Battery,Special,Battery,safety_critical,S3,Battery Collection,HIGH,GROUP_11487,,,train,KEEP,,
ewaste/test/Battery/battery_251.jpg,ewaste,Battery,Special,Battery,safety_critical,S3,Battery Collection,HIGH,GROUP_00860,,,train,KEEP,,
ewaste/test/Battery/battery_259.jpg,ewaste,Battery,Special,Battery,safety_critical,S3,Battery Collection,HIGH,GROUP_11314,,,train,KEEP,,
ewaste/test/Battery/battery_260.jpg,ewaste,Battery,Special,Battery,safety_critical,S3,Battery Collection,HIGH,GROUP_02292,,,train,KEEP,,
ewaste/test/Battery/battery_264.jpg,ewaste,Battery,Special,Battery,safety_critical,S3,Battery Collection,HIGH,GROUP_09766,,,train,KEEP,,
ewaste/test/Battery/battery_266.jpg,ewaste,Battery,Special,Battery,safety_critical,S3,Battery Collection,HIGH,GROUP_09368,,,test,KEEP,,
ewaste/test/Battery/battery_267.jpg,ewaste,Battery,Special,Battery,safety_critical,S3,Battery Collection,HIGH,GROUP_08766,,,test,KEEP,,
ewaste/test/Battery/battery_275.jpg,ewaste,Battery,Special,Battery,safety_critical,S3,Battery Collection,HIGH,GROUP_03432,,,train,KEEP,,
ewaste/test/Battery/battery_279.jpg,ewaste,Battery,Special,Battery,safety_critical,S3,Battery Collection,HIGH,GROUP_01281,,,test,KEEP,,
ewaste/test/Battery/battery_282.jpg,ewaste,Battery,Special,Battery,safety_critical,S3,Battery Collection,HIGH,GROUP_01788,,,train,KEEP,,
ewaste/test/Battery/battery_284.jpg,ewaste,Battery,Special,Battery,safety_critical,S3,Battery Collection,HIGH,GROUP_10712,,,train,KEEP,,
ewaste/test/Battery/battery_294.jpg,ewaste,Battery,Special,Battery,safety_critical,S3,Battery Collection,HIGH,GROUP_12557,,,test,KEEP,,
ewaste/test/Battery/battery_4.jpg,ewaste,Battery,Special,Battery,safety_critical,S3,Battery Collection,HIGH,GROUP_09093,,,train,KEEP,,
ewaste/test/Battery/battery_40.jpg,ewaste,Battery,Special,Battery,safety_critical,S3,Battery Collection,HIGH,GROUP_06768,,,train,KEEP,,
ewaste/test/Battery/battery_61.jpg,ewaste,Battery,Special,Battery,safety_critical,S3,Battery Collection,HIGH,GROUP_11276,,,train,KEEP,,
ewaste/test/Battery/battery_75.jpg,ewaste,Battery,Special,Battery,safety_critical,S3,Battery Collection,HIGH,GROUP_03159,,,test,KEEP,,
ewaste/test/Battery/battery_83.jpg,ewaste,Battery,Special,Battery,safety_critical,S3,Battery Collection,HIGH,GROUP_12300,,,train,KEEP,,
ewaste/test/Battery/battery_92.jpg,ewaste,Battery,Special,Battery,safety_critical,S3,Battery Collection,HIGH,GROUP_06920,,,val,KEEP,,
ewaste/test/Keyboard/Keyboard_106.jpg,ewaste,Keyboard,E-Waste,Electronic Device,e_waste,S2,E-Waste Collection,HIGH,GROUP_03924,,,train,KEEP,,
ewaste/test/Keyboard/Keyboard_128.jpg,ewaste,Keyboard,E-Waste,Electronic Device,e_waste,S2,E-Waste Collection,HIGH,GROUP_12273,,,train,KEEP,,
ewaste/test/Keyboard/Keyboard_148.jpg,ewaste,Keyboard,E-Waste,Electronic Device,e_waste,S2,E-Waste Collection,HIGH,GROUP_06523,,,train,KEEP,,
ewaste/test/Keyboard/Keyboard_152.jpg,ewaste,Keyboard,E-Waste,Electronic Device,e_waste,S2,E-Waste Collection,HIGH,GROUP_06679,,,train,KEEP,,
ewaste/test/Keyboard/Keyboard_174.jpg,ewaste,Keyboard,E-Waste,Electronic Device,e_waste,S2,E-Waste Collection,HIGH,GROUP_05597,,,train,KEEP,,
ewaste/test/Keyboard/Keyboard_177.jpg,ewaste,Keyboard,E-Waste,Electronic Device,e_waste,S2,E-Waste Collection,HIGH,GROUP_12240,,,train,KEEP,,
ewaste/test/Keyboard/Keyboard_190.jpg,ewaste,Keyboard,E-Waste,Electronic Device,e_waste,S2,E-Waste Collection,HIGH,GROUP_11792,,,train,KEEP,,
ewaste/test/Keyboard/Keyboard_192.jpg,ewaste,Keyboard,E-Waste,Electronic Device,e_waste,S2,E-Waste Collection,HIGH,GROUP_00474,,,train,KEEP,,
ewaste/test/Keyboard/Keyboard_211.jpg,ewaste,Keyboard,E-Waste,Electronic Device,e_waste,S2,E-Waste Collection,HIGH,GROUP_00304,,,test,KEEP,,
ewaste/test/Keyboard/Keyboard_22.jpg,ewaste,Keyboard,E-Waste,Electronic Device,e_waste,S2,E-Waste Collection,HIGH,GROUP_11371,,,test,KEEP,,
ewaste/test/Keyboard/Keyboard_24.jpg,ewaste,Keyboard,E-Waste,Electronic Device,e_waste,S2,E-Waste Collection,HIGH,GROUP_02981,,,train,KEEP,,
ewaste/test/Keyboard/Keyboard_241.jpg,ewaste,Keyboard,E-Waste,Electronic Device,e_waste,S2,E-Waste Collection,HIGH,GROUP_04672,,,train,KEEP,,
ewaste/test/Keyboard/Keyboard_242.jpg,ewaste,Keyboard,E-Waste,Electronic Device,e_waste,S2,E-Waste Collection,HIGH,GROUP_06688,,,train,KEEP,,
ewaste/test/Keyboard/Keyboard_251.jpg,ewaste,Keyboard,E-Waste,Electronic Device,e_waste,S2,E-Waste Collection,HIGH,GROUP_11140,,,test,KEEP,,
ewaste/test/Keyboard/Keyboard_259.jpg,ewaste,Keyboard,E-Waste,Electronic Device,e_waste,S2,E-Waste Collection,HIGH,GROUP_06951,,,train,KEEP,,
