epoch,train_loss,train_accuracy,val_loss,val_accuracy,learning_rate,epoch_time_seconds
1,1.7266168898933183,0.5495290678791815,1.0471693368873212,0.7308080808080808,0.0001,99.07894968986511
2,0.8710158731019302,0.8032911118328462,0.8022991180419922,0.8121212121212121,0.0001,60.15314269065857
3,0.698070126306679,0.8648911984410523,0.7250867333075013,0.8449494949494949,0.0001,55.282286167144775
4,0.608927432110109,0.894662769297391,0.6898148743793218,0.8560606060606061,0.0001,52.6014301776886
5,0.5496524674068788,0.9234599978347948,0.6664671594446355,0.8656565656565657,0.0001,54.6537082195282
6,0.5028224072828558,0.9420807621522139,0.6511639558907711,0.8732323232323232,0.0001,52.28198862075806
7,0.4762034230357681,0.95388113023709,0.6391511240390816,0.8848484848484849,0.0001,55.570232629776
8,0.44932282048411554,0.9643823752300531,0.6318400553982667,0.8787878787878788,0.0001,54.50000596046448
9,0.42964534076426575,0.9715275522355743,0.6328805306945184,0.8792929292929293,0.0001,55.38684868812561
10,0.41287715616739323,0.9789975100140739,0.6239116637393681,0.8974747474747474,0.0001,53.6826434135437
11,0.40556692893504837,0.9792140305293927,0.6307448741161462,0.8949494949494949,0.0001,54.8247287273407
12,0.3967487766033671,0.9832196600627909,0.625772776507368,0.8929292929292929,0.0001,53.18679332733154
